date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-03-05,moderna,fully_vaccinated,1,8,150562,0.66,NA,0.57,0.38,100,15.69,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-06,moderna,fully_vaccinated,0,8,152483,0,NA,0.29,0.19,0,15.38,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-07,moderna,fully_vaccinated,0,8,153283,0,NA,0.29,0.19,0,15.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-08,moderna,fully_vaccinated,0,8,160963,0,NA,0.29,0.18,NA,15.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-09,moderna,fully_vaccinated,0,8,171126,0,NA,0.29,0.17,0,14.81,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-10,moderna,fully_vaccinated,1,9,180528,0.55,NA,0.29,0.16,100,16.36,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-11,moderna,fully_vaccinated,0,9,190948,0,NA,0.29,0.15,0,15.79,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-12,moderna,fully_vaccinated,1,10,199621,0.5,NA,0.29,0.15,33.33,16.67,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-13,moderna,fully_vaccinated,0,10,201451,0,NA,0.29,0.14,0,16.39,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-14,moderna,fully_vaccinated,0,10,201799,0,NA,0.14,0.07,0,15.38,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-15,moderna,fully_vaccinated,0,10,209138,0,NA,0.14,0.07,0,14.93,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-16,moderna,fully_vaccinated,0,10,217759,0,NA,0,0,0,14.71,0,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-17,moderna,fully_vaccinated,0,10,226928,0,NA,0.14,0.06,0,14.08,3.57,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-18,moderna,fully_vaccinated,0,10,236178,0,NA,0.14,0.06,0,13.33,3.57,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-19,moderna,fully_vaccinated,0,10,244340,0,NA,0.14,0.06,0,12.82,3.57,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-20,moderna,fully_vaccinated,1,11,246021,0.41,NA,0.14,0.06,25,13.41,3.57,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-21,moderna,fully_vaccinated,0,11,246134,0,NA,0.14,0.06,0,13.25,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-22,moderna,fully_vaccinated,0,11,253055,0,NA,0.14,0.06,0,13.1,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-23,moderna,fully_vaccinated,0,11,260848,0,NA,0.14,0.05,0,12.79,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-24,moderna,fully_vaccinated,0,11,268118,0,NA,0.14,0.05,NA,12.79,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-25,moderna,fully_vaccinated,0,11,276010,0,NA,0.14,0.05,0,12.64,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-26,moderna,fully_vaccinated,0,11,282047,0,NA,0.14,0.05,NA,12.64,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-27,moderna,fully_vaccinated,1,12,283282,0.35,NA,0.14,0.05,50,13.48,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-28,moderna,fully_vaccinated,0,12,283789,0,NA,0.14,0.05,0,13.19,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-29,moderna,fully_vaccinated,0,12,289038,0,NA,0.29,0.1,0,12.9,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-30,moderna,fully_vaccinated,0,12,293889,0,NA,0.29,0.1,0,12.77,11.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-03-31,moderna,fully_vaccinated,0,12,300154,0,NA,0.29,0.1,0,12.5,8.33,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
