date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-03-08,moderna,fully_vaccinated,0,0,160963,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-09,moderna,fully_vaccinated,0,0,171126,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-10,moderna,fully_vaccinated,0,0,180528,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-11,moderna,fully_vaccinated,0,0,190948,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-12,moderna,fully_vaccinated,0,0,199621,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-13,moderna,fully_vaccinated,0,0,201451,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-14,moderna,fully_vaccinated,0,0,201799,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-15,moderna,fully_vaccinated,0,0,209138,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-16,moderna,fully_vaccinated,0,0,217759,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-17,moderna,fully_vaccinated,0,0,226928,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-18,moderna,fully_vaccinated,0,0,236178,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-19,moderna,fully_vaccinated,0,0,244340,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-20,moderna,fully_vaccinated,0,0,246021,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-21,moderna,fully_vaccinated,0,0,246134,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-22,moderna,fully_vaccinated,0,0,253055,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-23,moderna,fully_vaccinated,0,0,260848,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-24,moderna,fully_vaccinated,0,0,268118,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-25,moderna,fully_vaccinated,0,0,276010,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-26,moderna,fully_vaccinated,0,0,282047,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-27,moderna,fully_vaccinated,0,0,283282,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-28,moderna,fully_vaccinated,0,0,283789,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-29,moderna,fully_vaccinated,0,0,289038,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-30,moderna,fully_vaccinated,0,0,293889,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-03-31,moderna,fully_vaccinated,0,0,300154,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-01,moderna,fully_vaccinated,0,0,308097,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-02,moderna,fully_vaccinated,0,0,309748,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-03,moderna,fully_vaccinated,0,0,310875,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-04,moderna,fully_vaccinated,0,0,310888,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-05,moderna,fully_vaccinated,0,0,311192,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-06,moderna,fully_vaccinated,0,0,318198,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-07,moderna,fully_vaccinated,0,0,324740,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-08,moderna,fully_vaccinated,0,0,332428,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-09,moderna,fully_vaccinated,0,0,339374,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-10,moderna,fully_vaccinated,0,0,341737,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-11,moderna,fully_vaccinated,0,0,341934,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-12,moderna,fully_vaccinated,0,0,346021,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-13,moderna,fully_vaccinated,0,0,351407,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-14,moderna,fully_vaccinated,0,0,356692,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-15,moderna,fully_vaccinated,0,0,362757,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-16,moderna,fully_vaccinated,0,0,368526,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-17,moderna,fully_vaccinated,0,0,370551,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-18,moderna,fully_vaccinated,0,0,370575,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-19,moderna,fully_vaccinated,0,0,375375,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-20,moderna,fully_vaccinated,0,0,384476,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-21,moderna,fully_vaccinated,0,0,395385,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-22,moderna,fully_vaccinated,0,0,410835,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-23,moderna,fully_vaccinated,0,0,423317,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-24,moderna,fully_vaccinated,0,0,427981,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-25,moderna,fully_vaccinated,0,0,428638,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
