sex,nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_28d,timeframe_14d
female,all,TG,202146,5301,1148,4153,163120,21.7,3.5,10.1,0.543,54.300000000000004,140382,3776.13,116197.23,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,1103,785.72,26.3,-0.20000000000000284,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
female,all,TI,202146,3456,351,3105,234242,10.2,2.1999999999999993,8.4,0.538,53.800000000000004,180156,1918.34,130021.76,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,554,307.51,19.1,0.20000000000000284,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
female,all,UR,202146,2426,157,2269,53371,6.5,3,4.7,0.557,55.7,18051,13439.7,295667.83,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,161,891.92,7.1,0.6999999999999957,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
female,all,VD,202146,10025,1375,8650,656287,13.7,6.1,8.4,0.554,55.400000000000006,414545,2418.31,158315.02,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,1877,452.78,23,0.6000000000000014,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
female,all,VS,202146,4459,595,3864,229502,13.3,3.3000000000000007,10.6,0.549,54.900000000000006,175548,2540.05,130734.61,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,1016,578.76,29.5,3.500000000000007,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
female,all,ZG,202146,2583,405,2178,116840,15.7,4.1,5.6,0.524,52.400000000000006,63567,4063.43,183806.06,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,387,608.81,17.6,1.1000000000000014,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
female,all,ZH,202146,22880,3431,19449,1119128,15,1.5,7.8,0.525,52.5,779124,2936.63,143639.27,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,4690,601.96,25.8,0.19999999999999574,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,AG,202146,7,1,6,332,14.3,14.3,6,0,0,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,0,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,AI,202146,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,0,NA,NA,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,AR,202146,1,0,1,10,0,0,10,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,0,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
