nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_28d,timeframe_14d
all,CH05,202112,32135,1658,30477,736477,5.2,2.2,10.3,1,100,1193069,2693.47,61729.62,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-12,-9304,-779.84,-22.5,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH06,202112,20929,1194,19735,427941,5.7,0.7000000000000002,11.3,1,100,825745,2534.56,51824.84,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-12,1171,141.81,5.9,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH07,202112,11522,721,10801,235078,6.3,0,12.3,1,100,350986,3282.75,66976.46,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-12,2179,620.82,23.3,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH01,202113,75081,3531,71550,1381423,4.7,-1.0999999999999996,12.1,1,100,1669608,4496.92,82739.36,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-13,14338,858.76,23.6,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH02,202113,54881,2279,52602,1105714,4.2,-0.5999999999999996,11.2,1,100,1895693,2895.04,58327.69,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-13,6186,326.32,12.7,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH03,202113,30519,1622,28897,736527,5.3,0,9.2,1,100,1181776,2582.47,62323.74,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-13,-2782,-235.41,-8.4,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH04,202113,54809,2663,52146,1126145,4.9,-0.7999999999999998,9.1,1,100,1553423,3528.27,72494.42,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-13,8946,575.89,19.5,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH05,202113,26328,1727,24601,762805,6.6,1.3999999999999995,10.1,1,100,1193069,2206.75,63936.37,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-13,-5807,-486.72,-18.1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH06,202113,20914,1380,19534,448855,6.6,0.8999999999999995,11,1,100,825745,2532.74,54357.58,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-13,-15,-1.82,-0.1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH07,202113,12008,701,11307,247086,5.8,-0.5,12,1,100,350986,3421.22,70397.68,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-13,486,138.47,4.2,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH01,202114,49724,3787,45937,1431147,7.6,2.8999999999999995,11.9,1,100,1669608,2978.18,85717.55,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-14,-25357,-1518.74,-33.8,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH02,202114,39288,2575,36713,1145002,6.6,2.3999999999999995,11.1,1,100,1895693,2072.49,60400.18,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-14,-15593,-822.55,-28.4,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH03,202114,24768,1926,22842,761295,7.8,2.5,9.2,1,100,1181776,2095.83,64419.57,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-14,-5751,-486.64,-18.8,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH04,202114,38794,3216,35578,1164939,8.3,3.4000000000000004,9.1,1,100,1553423,2497.32,74991.74,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-14,-16015,-1030.95,-29.2,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH05,202114,26140,1863,24277,788945,7.1,0.5,10,1,100,1193069,2190.99,66127.36,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-14,-188,-15.76,-0.7,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH06,202114,16207,1505,14702,465062,9.3,2.700000000000001,11,1,100,825745,1962.71,56320.29,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-14,-4707,-570.03,-22.5,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH07,202114,7461,515,6946,254547,6.9,1.1000000000000005,11.8,1,100,350986,2125.73,72523.41,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-14,-4547,-1295.49,-37.9,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH01,202115,46424,3871,42553,1477571,8.3,0.7000000000000011,11.8,1,100,1669608,2780.53,88498.08,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-15,-3300,-197.65,-6.6,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH02,202115,32694,2703,29991,1177696,8.3,1.700000000000001,11,1,100,1895693,1724.65,62124.83,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-15,-6594,-347.84,-16.8,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH03,202115,23265,1899,21366,784560,8.2,0.39999999999999947,9.1,1,100,1181776,1968.65,66388.22,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-15,-1503,-127.18,-6.1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH04,202115,37906,3171,34735,1202845,8.4,0.09999999999999964,9.1,1,100,1553423,2440.16,77431.9,COVID19Test,,2021-11-26_07-48-10,isoweek,2021-15,-888,-57.16,-2.3,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
