date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202104,female,fully_vaccinated,0,0,8817,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,female,partially_vaccinated,4,4,157619,2.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,female,not_vaccinated,21,21,4220952,0.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,female,unknown,58,58,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,male,fully_vaccinated,0,0,6563,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,male,partially_vaccinated,4,4,120226,3.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,male,not_vaccinated,28,28,4195178,0.67,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,male,unknown,54,54,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,unknown,partially_vaccinated,0,0,32,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202104,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202105,female,fully_vaccinated,0,0,28228,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202105,female,partially_vaccinated,8,12,176015,4.55,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202105,female,not_vaccinated,28,49,4183145,0.67,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202105,female,unknown,51,109,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202105,male,fully_vaccinated,0,0,18679,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202105,male,partially_vaccinated,4,8,138827,2.88,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202105,male,not_vaccinated,29,57,4164461,0.7,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202105,male,unknown,46,100,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202105,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202105,unknown,partially_vaccinated,0,0,40,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202105,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202105,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202106,female,fully_vaccinated,1,1,61041,1.64,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202106,female,partially_vaccinated,5,17,188796,2.65,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202106,female,not_vaccinated,22,71,4137551,0.53,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202106,female,unknown,26,135,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202106,male,fully_vaccinated,0,0,42213,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202106,male,partially_vaccinated,5,13,147420,3.39,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202106,male,not_vaccinated,33,90,4132334,0.8,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202106,male,unknown,37,137,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202106,unknown,fully_vaccinated,0,0,5,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202106,unknown,partially_vaccinated,0,0,53,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202106,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202106,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202107,female,fully_vaccinated,0,1,100444,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202107,female,partially_vaccinated,4,21,183214,2.18,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202107,female,not_vaccinated,13,84,4103730,0.32,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202107,female,unknown,28,163,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202107,male,fully_vaccinated,0,0,75125,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202107,male,partially_vaccinated,0,13,139373,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202107,male,not_vaccinated,22,112,4107469,0.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202107,male,unknown,19,156,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202107,unknown,fully_vaccinated,0,0,12,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202107,unknown,partially_vaccinated,0,0,58,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202107,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202107,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202108,female,fully_vaccinated,2,3,150236,1.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202108,female,partially_vaccinated,3,24,161371,1.86,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202108,female,not_vaccinated,7,91,4075781,0.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202108,female,unknown,15,178,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202108,male,fully_vaccinated,1,1,115353,0.87,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202108,male,partially_vaccinated,5,18,119884,4.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202108,male,not_vaccinated,12,124,4086730,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202108,male,unknown,18,174,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202108,unknown,fully_vaccinated,0,0,25,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202108,unknown,partially_vaccinated,0,0,48,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202108,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202108,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202109,female,fully_vaccinated,0,3,193732,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202109,female,partially_vaccinated,2,26,159513,1.25,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202109,female,not_vaccinated,14,105,4034143,0.35,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202109,female,unknown,14,192,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202109,male,fully_vaccinated,0,1,148647,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202109,male,partially_vaccinated,1,19,120155,0.83,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202109,male,not_vaccinated,11,135,4053165,0.27,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202109,male,unknown,22,196,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202109,unknown,fully_vaccinated,0,0,37,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202109,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202109,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202109,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202110,female,fully_vaccinated,2,5,229407,0.87,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202110,female,partially_vaccinated,1,27,174474,0.57,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202110,female,not_vaccinated,14,119,3983507,0.35,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202110,female,unknown,13,205,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202110,male,fully_vaccinated,1,2,175215,0.57,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202110,male,partially_vaccinated,2,21,132997,1.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202110,male,not_vaccinated,24,159,4013755,0.6,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202110,male,unknown,18,214,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202110,unknown,fully_vaccinated,0,0,46,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202110,unknown,partially_vaccinated,0,0,40,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202110,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202110,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202111,female,fully_vaccinated,0,5,273318,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202111,female,partially_vaccinated,3,30,172932,1.73,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202111,female,not_vaccinated,9,128,3941138,0.23,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202111,female,unknown,15,220,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202111,male,fully_vaccinated,1,3,205162,0.49,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202111,male,partially_vaccinated,3,24,138506,2.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202111,male,not_vaccinated,13,172,3978299,0.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202111,male,unknown,18,232,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202111,unknown,fully_vaccinated,0,0,65,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202111,unknown,partially_vaccinated,0,0,71,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202111,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202111,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,female,fully_vaccinated,1,6,312563,0.32,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,female,partially_vaccinated,0,30,195236,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,female,not_vaccinated,14,142,3879589,0.36,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,female,unknown,10,230,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,male,fully_vaccinated,1,4,235459,0.42,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,male,partially_vaccinated,4,28,160407,2.49,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,male,not_vaccinated,16,188,3926101,0.41,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,male,unknown,14,246,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,unknown,fully_vaccinated,0,0,70,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,unknown,partially_vaccinated,0,0,79,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,female,fully_vaccinated,0,6,349462,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,female,partially_vaccinated,1,31,218128,0.46,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,female,not_vaccinated,20,162,3819798,0.52,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,female,unknown,12,242,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,male,fully_vaccinated,1,5,265212,0.38,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,male,partially_vaccinated,3,31,180288,1.66,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,male,not_vaccinated,21,209,3876467,0.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,male,unknown,13,259,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,unknown,fully_vaccinated,0,0,75,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,unknown,partially_vaccinated,0,0,87,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,female,fully_vaccinated,2,8,398368,0.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,female,partially_vaccinated,1,32,235779,0.42,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,female,not_vaccinated,11,173,3753241,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,female,unknown,8,250,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,male,fully_vaccinated,0,5,304065,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,male,partially_vaccinated,2,33,199256,1,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,male,not_vaccinated,23,232,3818646,0.6,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,male,unknown,16,275,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,unknown,fully_vaccinated,0,0,83,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,unknown,partially_vaccinated,0,0,107,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,female,fully_vaccinated,2,10,444946,0.45,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,female,partially_vaccinated,1,33,303034,0.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,female,not_vaccinated,6,179,3639408,0.16,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,female,unknown,10,260,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,male,fully_vaccinated,1,6,342832,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,male,partially_vaccinated,2,35,259576,0.77,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,male,not_vaccinated,15,247,3719559,0.4,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,male,unknown,9,284,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,unknown,fully_vaccinated,0,0,130,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,unknown,partially_vaccinated,0,0,102,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202116,female,fully_vaccinated,2,12,504740,0.4,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202116,female,partially_vaccinated,0,33,381604,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-25_07-51-54,TRUE
