date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-01-27,moderna,fully_vaccinated,0,0,118,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-01-28,moderna,fully_vaccinated,0,0,166,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-01-29,moderna,fully_vaccinated,0,0,174,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-01-30,moderna,fully_vaccinated,0,0,174,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-01-31,moderna,fully_vaccinated,0,0,174,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-01,moderna,fully_vaccinated,0,0,190,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-02,moderna,fully_vaccinated,0,0,218,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-03,moderna,fully_vaccinated,0,0,284,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-04,moderna,fully_vaccinated,0,0,386,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-05,moderna,fully_vaccinated,0,0,426,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-06,moderna,fully_vaccinated,0,0,427,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-07,moderna,fully_vaccinated,0,0,428,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-08,moderna,fully_vaccinated,0,0,458,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-09,moderna,fully_vaccinated,0,0,509,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-10,moderna,fully_vaccinated,0,0,806,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-11,moderna,fully_vaccinated,0,0,981,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-12,moderna,fully_vaccinated,0,0,1827,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-13,moderna,fully_vaccinated,0,0,3945,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-14,moderna,fully_vaccinated,0,0,4025,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-15,moderna,fully_vaccinated,0,0,5439,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-16,moderna,fully_vaccinated,0,0,9534,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-17,moderna,fully_vaccinated,0,0,15188,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-18,moderna,fully_vaccinated,0,0,22349,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-19,moderna,fully_vaccinated,0,0,29311,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-20,moderna,fully_vaccinated,0,0,32797,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-21,moderna,fully_vaccinated,0,0,33260,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-22,moderna,fully_vaccinated,0,0,41007,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-23,moderna,fully_vaccinated,0,0,52636,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-24,moderna,fully_vaccinated,0,0,65496,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-25,moderna,fully_vaccinated,0,0,79698,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-26,moderna,fully_vaccinated,0,0,92562,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-27,moderna,fully_vaccinated,0,0,96369,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-02-28,moderna,fully_vaccinated,0,0,97406,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-01,moderna,fully_vaccinated,0,0,106691,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-02,moderna,fully_vaccinated,0,0,117807,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-03,moderna,fully_vaccinated,0,0,129461,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-04,moderna,fully_vaccinated,0,0,140652,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-05,moderna,fully_vaccinated,0,0,150438,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-06,moderna,fully_vaccinated,0,0,152359,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-07,moderna,fully_vaccinated,0,0,153159,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-08,moderna,fully_vaccinated,0,0,160839,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-09,moderna,fully_vaccinated,0,0,170999,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-10,moderna,fully_vaccinated,0,0,180397,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-11,moderna,fully_vaccinated,0,0,190816,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-12,moderna,fully_vaccinated,0,0,199485,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-13,moderna,fully_vaccinated,0,0,201315,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-14,moderna,fully_vaccinated,0,0,201663,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-15,moderna,fully_vaccinated,0,0,208994,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-16,moderna,fully_vaccinated,0,0,217613,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-17,moderna,fully_vaccinated,0,0,226728,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
2021-03-18,moderna,fully_vaccinated,0,0,235946,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-10_07-50-19
