date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202105,male,fully_vaccinated,0,0,18640,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202105,male,partially_vaccinated,4,8,138745,2.88,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202105,male,not_vaccinated,29,57,4164582,0.7,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202105,male,unknown,46,100,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202105,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202105,unknown,partially_vaccinated,0,0,40,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202105,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202105,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202106,female,fully_vaccinated,1,1,60996,1.64,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202106,female,partially_vaccinated,5,17,188701,2.65,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202106,female,not_vaccinated,22,71,4137691,0.53,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202106,female,unknown,26,135,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202106,male,fully_vaccinated,0,0,42162,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202106,male,partially_vaccinated,5,13,147312,3.39,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202106,male,not_vaccinated,33,90,4132493,0.8,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
