date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202107,male,unknown,3284,15076,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202107,unknown,fully_vaccinated,0,0,11,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202107,unknown,partially_vaccinated,0,0,57,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202107,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202107,unknown,unknown,1,6,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202108,female,fully_vaccinated,9,17,150144,5.99,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202108,female,partially_vaccinated,13,73,161272,8.06,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202108,female,not_vaccinated,66,328,4075972,1.62,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202108,female,unknown,3504,19897,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202108,male,fully_vaccinated,4,9,115239,3.47,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202108,male,partially_vaccinated,9,42,119776,7.51,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202108,male,not_vaccinated,90,393,4086952,2.2,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202108,male,unknown,3543,18619,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202108,unknown,fully_vaccinated,0,0,24,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202108,unknown,partially_vaccinated,0,0,47,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202108,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202108,unknown,unknown,3,9,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202109,female,fully_vaccinated,3,20,193620,1.55,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202109,female,partially_vaccinated,14,87,159427,8.78,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202109,female,not_vaccinated,66,394,4034341,1.64,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202109,female,unknown,3713,23610,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202109,male,fully_vaccinated,5,14,148502,3.37,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202109,male,partially_vaccinated,6,48,120062,5,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202109,male,not_vaccinated,80,473,4053403,1.97,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202109,male,unknown,3697,22316,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202109,unknown,fully_vaccinated,0,0,36,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202109,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202109,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202109,unknown,unknown,10,19,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
202110,female,fully_vaccinated,15,35,229283,6.54,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-11-10_07-50-19
