geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_28d,timeframe_14d,nachweismethode,type_variant
CH02,202125,13052,137,12915,1170475,1,100,1,-0.5,10.6,1895693,688.51,61743.91,-2056,-108.45,0,-13.6,COVID19Test,2021-11-10_07-50-19,isoweek,2021-25,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
CH03,202125,9095,90,9005,801993,1,100,1,-0.19999999999999996,8.5,1181776,769.6,67863.37,-968,-81.92,0,-9.6,COVID19Test,2021-11-10_07-50-19,isoweek,2021-25,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
CH04,202125,11468,122,11346,1127410,1,100,1.1,-0.3999999999999999,8.8,1553423,738.24,72575.85,-1842,-118.58,0,-13.8,COVID19Test,2021-11-10_07-50-19,isoweek,2021-25,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
CH05,202125,7491,124,7367,755778,1,100,1.7,-1.3,9.8,1193069,627.88,63347.38,-1321,-110.72,0,-15,COVID19Test,2021-11-10_07-50-19,isoweek,2021-25,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
CH06,202125,7009,99,6910,501731,1,100,1.4,-0.7000000000000002,10.4,825745,848.81,60761.01,-1133,-137.21,0,-13.9,COVID19Test,2021-11-10_07-50-19,isoweek,2021-25,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
CH07,202125,2615,29,2586,263465,1,100,1.1,-0.3999999999999999,11.4,350986,745.04,75064.25,-548,-156.14,0,-17.3,COVID19Test,2021-11-10_07-50-19,isoweek,2021-25,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
CH01,202126,28961,44,28917,418557,1,100,0.2,0,7.2,1669608,1734.6,25069.18,13335,798.69,0,85.3,COVID19Test,2021-11-10_07-50-19,isoweek,2021-26,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
CH02,202126,13516,23,13493,317396,1,100,0.2,-0.2,6.1,1895693,712.98,16743.01,4665,246.08,0,52.7,COVID19Test,2021-11-10_07-50-19,isoweek,2021-26,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
CH03,202126,17546,26,17520,209458,1,100,0.1,0,5.8,1181776,1484.71,17724,9533,806.66,0,119,COVID19Test,2021-11-10_07-50-19,isoweek,2021-26,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
CH04,202126,12542,36,12506,398745,1,100,0.3,0.09999999999999998,5.5,1553423,807.38,25668.8,146,9.4,0,1.2,COVID19Test,2021-11-10_07-50-19,isoweek,2021-26,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
CH05,202126,4878,30,4848,243091,1,100,0.6,0,7.1,1193069,408.86,20375.27,174,14.58,0,3.7,COVID19Test,2021-11-10_07-50-19,isoweek,2021-26,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
CH06,202126,6447,34,6413,141518,1,100,0.5,0.2,6,825745,780.75,17138.22,1066,129.1,0,19.8,COVID19Test,2021-11-10_07-50-19,isoweek,2021-26,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
CH07,202126,3672,9,3663,85673,1,100,0.2,0.1,3.2,350986,1046.2,24409.24,-2401,-684.07,0,-39.5,COVID19Test,2021-11-10_07-50-19,isoweek,2021-26,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Antigen_Schnelltest,
CH01,202126,24243,262,23981,1524586,1,100,1.1,0.20000000000000007,10.6,1669608,1452.02,91314.01,4774,285.94,0,24.5,COVID19Test,2021-11-10_07-50-19,isoweek,2021-26,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
CH02,202126,16070,135,15935,1186545,1,100,0.8,-0.19999999999999996,10.5,1895693,847.71,62591.62,3018,159.2,0,23.1,COVID19Test,2021-11-10_07-50-19,isoweek,2021-26,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PCR,
