date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-01-27,moderna,fully_vaccinated,0,0,118,0,NA,NA,NA,NA,NA,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-01-28,moderna,fully_vaccinated,0,0,166,0,NA,NA,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-01-29,moderna,fully_vaccinated,0,0,174,0,NA,NA,NA,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-01-30,moderna,fully_vaccinated,0,0,174,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-01-31,moderna,fully_vaccinated,0,0,174,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-01,moderna,fully_vaccinated,0,0,190,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-02,moderna,fully_vaccinated,0,0,218,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-03,moderna,fully_vaccinated,0,0,284,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-04,moderna,fully_vaccinated,0,0,386,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-05,moderna,fully_vaccinated,0,0,426,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-06,moderna,fully_vaccinated,0,0,427,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-07,moderna,fully_vaccinated,0,0,428,0,NA,0.14,32.71,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-08,moderna,fully_vaccinated,0,0,458,0,NA,0.14,30.57,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-09,moderna,fully_vaccinated,0,0,509,0,NA,0.14,27.5,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-10,moderna,fully_vaccinated,1,1,806,124.07,NA,0.14,17.37,100,9.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-11,moderna,fully_vaccinated,0,1,981,0,NA,0.14,14.27,0,8.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-12,moderna,fully_vaccinated,0,1,1827,0,NA,0.14,7.66,NA,8.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-13,moderna,fully_vaccinated,0,1,3945,0,NA,0.29,7.35,0,7.14,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-14,moderna,fully_vaccinated,0,1,4025,0,NA,0.29,7.2,0,6.25,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-15,moderna,fully_vaccinated,0,1,5439,0,NA,0.29,5.33,0,5.56,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
2021-02-16,moderna,fully_vaccinated,1,2,9534,10.49,NA,0.29,3.04,33.33,9.52,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-11-10_07-50-19
