date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202107,male,partially_vaccinated,6,12,139281,4.31,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202107,male,not_vaccinated,69,224,4107634,1.68,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202107,male,unknown,102,510,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202107,unknown,fully_vaccinated,0,0,11,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202107,unknown,partially_vaccinated,0,0,57,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202107,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202107,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202108,female,fully_vaccinated,3,8,150144,2,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202108,female,partially_vaccinated,5,16,161272,3.1,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202108,female,not_vaccinated,44,214,4075972,1.08,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202108,female,unknown,92,526,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202108,male,fully_vaccinated,3,7,115239,2.6,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202108,male,partially_vaccinated,1,13,119776,0.83,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202108,male,not_vaccinated,55,279,4086952,1.35,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202108,male,unknown,90,600,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202108,unknown,fully_vaccinated,0,0,24,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202108,unknown,partially_vaccinated,0,0,47,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202108,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202108,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202109,female,fully_vaccinated,1,9,193620,0.52,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202109,female,partially_vaccinated,3,19,159427,1.88,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202109,female,not_vaccinated,65,279,4034341,1.61,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202109,female,unknown,75,601,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202109,male,fully_vaccinated,5,12,148502,3.37,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202109,male,partially_vaccinated,4,17,120062,3.33,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202109,male,not_vaccinated,78,357,4053403,1.92,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202109,male,unknown,111,711,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202109,unknown,fully_vaccinated,0,0,36,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202109,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
